new_index,base,ligand,solvent,concentration,temperature,yield,cost
0,KOAc,BrettPhos,DMAc,0.1,105,5.47,0.14577548199999998
1,KOAc,PPhtBu2,DMAc,0.1,105,0.0,0.04320091
2,KOAc,tBPh-CPhos,DMAc,0.1,105,78.95,0.269139791
3,KOAc,PCy3 HBF4,DMAc,0.1,105,7.26,0.032180612000000004
4,KOAc,PPh3,DMAc,0.1,105,28.15,0.026372917000000003
5,KOAc,X-Phos,DMAc,0.1,105,65.37,0.034677571000000004
6,KOPiv,BrettPhos,DMAc,0.1,105,0.07,0.144665615
7,KOPiv,PPhtBu2,DMAc,0.1,105,0.0,0.042106611
8,KOPiv,tBPh-CPhos,DMAc,0.1,105,28.64,0.267900458
9,KOPiv,PCy3 HBF4,DMAc,0.1,105,10.44,0.03109548
10,KOPiv,PPh3,DMAc,0.1,105,63.13,0.025379457
11,KOPiv,X-Phos,DMAc,0.1,105,77.41,0.03361798
12,CsOAc,BrettPhos,DMAc,0.1,105,4.74,0.191273824
13,CsOAc,PPhtBu2,DMAc,0.1,105,0.0,0.088701357
14,CsOAc,tBPh-CPhos,DMAc,0.1,105,29.31,0.314497136
15,CsOAc,PCy3 HBF4,DMAc,0.1,105,12.83,0.077697116
16,CsOAc,PPh3,DMAc,0.1,105,62.82,0.07197331
17,CsOAc,X-Phos,DMAc,0.1,105,87.83,0.08024276400000001
18,CsOPiv,BrettPhos,DMAc,0.1,105,0.0,0.232133425
19,CsOPiv,PPhtBu2,DMAc,0.1,105,0.0,0.129574623
20,CsOPiv,tBPh-CPhos,DMAc,0.1,105,7.62,0.355307874
21,CsOPiv,PCy3 HBF4,DMAc,0.1,105,8.85,0.118558908
22,CsOPiv,PPh3,DMAc,0.1,105,52.05,0.112815528
23,CsOPiv,X-Phos,DMAc,0.1,105,29.16,0.120946897
24,KOAc,BrettPhos,BuCN,0.1,105,18.44,0.163723596
25,KOAc,PPhtBu2,BuCN,0.1,105,0.0,0.061023208
26,KOAc,tBPh-CPhos,BuCN,0.1,105,6.17,0.286781867
27,KOAc,PCy3 HBF4,BuCN,0.1,105,0.0,0.049981981
28,KOAc,PPh3,BuCN,0.1,105,6.24,0.044161977000000005
29,KOAc,X-Phos,BuCN,0.1,105,47.3,0.052674599
30,KOPiv,BrettPhos,BuCN,0.1,105,56.05,0.162918073
31,KOPiv,PPhtBu2,BuCN,0.1,105,0.0,0.059928908
32,KOPiv,tBPh-CPhos,BuCN,0.1,105,6.39,0.285689257
33,KOPiv,PCy3 HBF4,BuCN,0.1,105,0.35,0.048890369
34,KOPiv,PPh3,BuCN,0.1,105,4.28,0.043052628
35,KOPiv,X-Phos,BuCN,0.1,105,56.14,0.051648175
36,CsOAc,BrettPhos,BuCN,0.1,105,64.48,0.209577546
37,CsOAc,PPhtBu2,BuCN,0.1,105,0.0,0.106523654
38,CsOAc,tBPh-CPhos,BuCN,0.1,105,5.88,0.332280087
39,CsOAc,PCy3 HBF4,BuCN,0.1,105,0.57,0.095486804
40,CsOAc,PPh3,BuCN,0.1,105,3.21,0.08963915800000001
41,CsOAc,X-Phos,BuCN,0.1,105,83.83,0.09845553
42,CsOPiv,BrettPhos,BuCN,0.1,105,55.41,0.250381171
43,CsOPiv,PPhtBu2,BuCN,0.1,105,0.0,0.14739692
44,CsOPiv,tBPh-CPhos,BuCN,0.1,105,5.41,0.373149744
45,CsOPiv,PCy3 HBF4,BuCN,0.1,105,0.33,0.136358227
46,CsOPiv,PPh3,BuCN,0.1,105,3.44,0.13051419
47,CsOPiv,X-Phos,BuCN,0.1,105,68.53,0.139211319
48,KOAc,BrettPhos,BuOAc,0.1,105,17.09,0.157572457
49,KOAc,PPhtBu2,BuOAc,0.1,105,0.0,0.05491753
50,KOAc,tBPh-CPhos,BuOAc,0.1,105,0.0,0.280628815
51,KOAc,PCy3 HBF4,BuOAc,0.1,105,0.0,0.043876303
52,KOAc,PPh3,BuOAc,0.1,105,3.41,0.038027567000000005
53,KOAc,X-Phos,BuOAc,0.1,105,64.62,0.046569203
54,KOPiv,BrettPhos,BuOAc,0.1,105,49.22,0.156658874
55,KOPiv,PPhtBu2,BuOAc,0.1,105,0.0,0.05382323
56,KOPiv,tBPh-CPhos,BuOAc,0.1,105,22.75,0.279662474
57,KOPiv,PCy3 HBF4,BuOAc,0.1,105,0.0,0.042782003
58,KOPiv,PPh3,BuOAc,0.1,105,1.92,0.036924887
59,KOPiv,X-Phos,BuOAc,0.1,105,48.25,0.045382829000000006
60,CsOAc,BrettPhos,BuOAc,0.1,105,26.64,0.203126617
61,CsOAc,PPhtBu2,BuOAc,0.1,105,0.0,0.100417976
62,CsOAc,tBPh-CPhos,BuOAc,0.1,105,0.0,0.326129261
63,CsOAc,PCy3 HBF4,BuOAc,0.1,105,0.0,0.089376749
64,CsOAc,PPh3,BuOAc,0.1,105,4.22,0.083532569
65,CsOAc,X-Phos,BuOAc,0.1,105,86.43,0.092192321
66,CsOPiv,BrettPhos,BuOAc,0.1,105,27.48,0.244004608
67,CsOPiv,PPhtBu2,BuOAc,0.1,105,0.0,0.14129124199999998
68,CsOPiv,tBPh-CPhos,BuOAc,0.1,105,15.16,0.367087796
69,CsOPiv,PCy3 HBF4,BuOAc,0.1,105,0.0,0.130250015
70,CsOPiv,PPh3,BuOAc,0.1,105,0.91,0.124387218
71,CsOPiv,X-Phos,BuOAc,0.1,105,59.92,0.13291648
72,KOAc,BrettPhos,p-Xylene,0.1,105,16.44,0.148146224
73,KOAc,PPhtBu2,p-Xylene,0.1,105,0.0,0.045527419000000006
74,KOAc,tBPh-CPhos,p-Xylene,0.1,105,6.39,0.271262026
75,KOAc,PCy3 HBF4,p-Xylene,0.1,105,0.0,0.034486192
76,KOAc,PPh3,p-Xylene,0.1,105,2.06,0.028625795
77,KOAc,X-Phos,p-Xylene,0.1,105,43.76,0.036975345
78,KOPiv,BrettPhos,p-Xylene,0.1,105,29.17,0.147098385
79,KOPiv,PPhtBu2,p-Xylene,0.1,105,0.0,0.04443312
80,KOPiv,tBPh-CPhos,p-Xylene,0.1,105,14.92,0.270198859
81,KOPiv,PCy3 HBF4,p-Xylene,0.1,105,0.0,0.033391893
82,KOPiv,PPh3,p-Xylene,0.1,105,1.41,0.027529123
83,KOPiv,X-Phos,p-Xylene,0.1,105,35.07,0.035849329
84,CsOAc,BrettPhos,p-Xylene,0.1,105,40.03,0.193732767
85,CsOAc,PPhtBu2,p-Xylene,0.1,105,0.0,0.091027866
86,CsOAc,tBPh-CPhos,p-Xylene,0.1,105,19.51,0.316810357
87,CsOAc,PCy3 HBF4,p-Xylene,0.1,105,0.55,0.079988646
88,CsOAc,PPh3,p-Xylene,0.1,105,10.5,0.074157045
89,CsOAc,X-Phos,p-Xylene,0.1,105,67.17,0.082561232
90,CsOPiv,BrettPhos,p-Xylene,0.1,105,21.54,0.23453855
91,CsOPiv,PPhtBu2,p-Xylene,0.1,105,0.0,0.131901132
92,CsOPiv,tBPh-CPhos,p-Xylene,0.1,105,28.65,0.357716982
93,CsOPiv,PCy3 HBF4,p-Xylene,0.1,105,0.0,0.120859905
94,CsOPiv,PPh3,p-Xylene,0.1,105,0.66,0.114994397
95,CsOPiv,X-Phos,p-Xylene,0.1,105,53.63,0.12338508
96,KOAc,BrettPhos,DMAc,0.1,90,5.22,0.145774761
97,KOAc,PPhtBu2,DMAc,0.1,90,0.0,0.04320091
98,KOAc,tBPh-CPhos,DMAc,0.1,90,47.03,0.269047772
99,KOAc,PCy3 HBF4,DMAc,0.1,90,1.71,0.032164612999999995
100,KOAc,PPh3,DMAc,0.1,90,14.29,0.026332962
101,KOAc,X-Phos,DMAc,0.1,90,38.03,0.034598755
102,KOPiv,BrettPhos,DMAc,0.1,90,0.0,0.14466541300000002
103,KOPiv,PPhtBu2,DMAc,0.1,90,0.0,0.042106611
104,KOPiv,tBPh-CPhos,DMAc,0.1,90,10.12,0.267847069
105,KOPiv,PCy3 HBF4,DMAc,0.1,90,3.01,0.031074061
106,KOPiv,PPh3,DMAc,0.1,90,38.78,0.025309262000000003
107,KOPiv,X-Phos,DMAc,0.1,90,55.17,0.033553867
108,CsOAc,BrettPhos,DMAc,0.1,90,4.23,0.191272353
109,CsOAc,PPhtBu2,DMAc,0.1,90,0.0,0.088701357
110,CsOAc,tBPh-CPhos,DMAc,0.1,90,17.74,0.314463782
111,CsOAc,PCy3 HBF4,DMAc,0.1,90,4.02,0.077671718
112,CsOAc,PPh3,DMAc,0.1,90,32.36,0.0718855
113,CsOAc,X-Phos,DMAc,0.1,90,84.17,0.080232213
114,CsOPiv,BrettPhos,DMAc,0.1,90,0.0,0.232133425
115,CsOPiv,PPhtBu2,DMAc,0.1,90,0.0,0.129574623
116,CsOPiv,tBPh-CPhos,DMAc,0.1,90,4.77,0.355299658
117,CsOPiv,PCy3 HBF4,DMAc,0.1,90,3.69,0.118544033
118,CsOPiv,PPh3,DMAc,0.1,90,33.59,0.112762312
119,CsOPiv,X-Phos,DMAc,0.1,90,22.94,0.120928967
120,KOAc,BrettPhos,BuCN,0.1,90,9.66,0.16365618199999998
121,KOAc,PPhtBu2,BuCN,0.1,90,0.0,0.061023208
122,KOAc,tBPh-CPhos,BuCN,0.1,90,4.61,0.286769889
123,KOAc,PCy3 HBF4,BuCN,0.1,90,0.0,0.049981981
124,KOAc,PPh3,BuCN,0.1,90,2.83,0.044135794000000006
125,KOAc,X-Phos,BuCN,0.1,90,26.5,0.052514893
126,KOPiv,BrettPhos,BuCN,0.1,90,39.5,0.162790999
127,KOPiv,PPhtBu2,BuCN,0.1,90,0.95,0.059936203
128,KOPiv,tBPh-CPhos,BuCN,0.1,90,6.69,0.28569156
129,KOPiv,PCy3 HBF4,BuCN,0.1,90,0.0,0.048887681
130,KOPiv,PPh3,BuCN,0.1,90,2.48,0.043038807000000005
131,KOPiv,X-Phos,BuCN,0.1,90,45.95,0.051569934000000005
132,CsOAc,BrettPhos,BuCN,0.1,90,48.21,0.209452622
133,CsOAc,PPhtBu2,BuCN,0.1,90,0.0,0.106523654
134,CsOAc,tBPh-CPhos,BuCN,0.1,90,6.27,0.33228308100000004
135,CsOAc,PCy3 HBF4,BuCN,0.1,90,0.0,0.095482427
136,CsOAc,PPh3,BuCN,0.1,90,5.8,0.089659045
137,CsOAc,X-Phos,BuCN,0.1,90,86.37,0.098475032
138,CsOPiv,BrettPhos,BuCN,0.1,90,48.64,0.25032919
139,CsOPiv,PPhtBu2,BuCN,0.1,90,0.0,0.14739692
140,CsOPiv,tBPh-CPhos,BuCN,0.1,90,5.29,0.373148823
141,CsOPiv,PCy3 HBF4,BuCN,0.1,90,0.0,0.136355693
142,CsOPiv,PPh3,BuCN,0.1,90,1.9,0.130502366
143,CsOPiv,X-Phos,BuCN,0.1,90,69.11,0.139215773
144,KOAc,BrettPhos,BuOAc,0.1,90,20.73,0.15759293
145,KOAc,PPhtBu2,BuOAc,0.1,90,0.0,0.05491753
146,KOAc,tBPh-CPhos,BuOAc,0.1,90,0.0,0.280628815
147,KOAc,PCy3 HBF4,BuOAc,0.1,90,0.0,0.043876303
148,KOAc,PPh3,BuOAc,0.1,90,1.19,0.03801508
149,KOAc,X-Phos,BuOAc,0.1,90,28.11,0.04636385
150,KOPiv,BrettPhos,BuOAc,0.1,90,30.95,0.156556113
151,KOPiv,PPhtBu2,BuOAc,0.1,90,0.0,0.05382323
152,KOPiv,tBPh-CPhos,BuOAc,0.1,90,0.0,0.279534515
153,KOPiv,PCy3 HBF4,BuOAc,0.1,90,0.0,0.042782003
154,KOPiv,PPh3,BuOAc,0.1,90,0.65,0.036917743
155,KOPiv,X-Phos,BuOAc,0.1,90,42.3,0.045349363
156,CsOAc,BrettPhos,BuOAc,0.1,90,29.21,0.203141073
157,CsOAc,PPhtBu2,BuOAc,0.1,90,0.0,0.100417976
158,CsOAc,tBPh-CPhos,BuOAc,0.1,90,0.0,0.326129261
159,CsOAc,PCy3 HBF4,BuOAc,0.1,90,0.0,0.089376749
160,CsOAc,PPh3,BuOAc,0.1,90,1.9,0.08351952
161,CsOAc,X-Phos,BuOAc,0.1,90,85.24,0.092185628
162,CsOPiv,BrettPhos,BuOAc,0.1,90,23.75,0.243983628
163,CsOPiv,PPhtBu2,BuOAc,0.1,90,0.0,0.14129124199999998
164,CsOPiv,tBPh-CPhos,BuOAc,0.1,90,0.0,0.367002527
165,CsOPiv,PCy3 HBF4,BuOAc,0.1,90,0.0,0.130250015
166,CsOPiv,PPh3,BuOAc,0.1,90,0.26,0.124383562
167,CsOPiv,X-Phos,BuOAc,0.1,90,3.0,0.132596329
168,KOAc,BrettPhos,p-Xylene,0.1,90,17.92,0.148151625
169,KOAc,PPhtBu2,p-Xylene,0.1,90,0.0,0.045527419000000006
170,KOAc,tBPh-CPhos,p-Xylene,0.1,90,7.34,0.271265493
171,KOAc,PCy3 HBF4,p-Xylene,0.1,90,0.0,0.034486192
172,KOAc,PPh3,p-Xylene,0.1,90,0.55,0.028620284
173,KOAc,X-Phos,p-Xylene,0.1,90,25.5,0.036908701
174,KOPiv,BrettPhos,p-Xylene,0.1,90,38.12,0.14713105
175,KOPiv,PPhtBu2,p-Xylene,0.1,90,0.0,0.04443312
176,KOPiv,tBPh-CPhos,p-Xylene,0.1,90,23.22,0.270229152
177,KOPiv,PCy3 HBF4,p-Xylene,0.1,90,0.0,0.033391893
178,KOPiv,PPh3,p-Xylene,0.1,90,0.32,0.027525144
179,KOPiv,X-Phos,p-Xylene,0.1,90,26.33,0.03581743
180,CsOAc,BrettPhos,p-Xylene,0.1,90,42.45,0.1937416
181,CsOAc,PPhtBu2,p-Xylene,0.1,90,0.0,0.091027866
182,CsOAc,tBPh-CPhos,p-Xylene,0.1,90,20.04,0.316812291
183,CsOAc,PCy3 HBF4,p-Xylene,0.1,90,0.0,0.079986639
184,CsOAc,PPh3,p-Xylene,0.1,90,5.91,0.074140292
185,CsOAc,X-Phos,p-Xylene,0.1,90,59.27,0.082532399
186,CsOPiv,BrettPhos,p-Xylene,0.1,90,19.39,0.234530703
187,CsOPiv,PPhtBu2,p-Xylene,0.1,90,0.0,0.131901132
188,CsOPiv,tBPh-CPhos,p-Xylene,0.1,90,31.97,0.357729099
189,CsOPiv,PCy3 HBF4,p-Xylene,0.1,90,0.0,0.120859905
190,CsOPiv,PPh3,p-Xylene,0.1,90,0.0,0.114991988
191,CsOPiv,X-Phos,p-Xylene,0.1,90,36.98,0.123324312
192,KOAc,BrettPhos,DMAc,0.1,120,5.03,0.145774213
193,KOAc,PPhtBu2,DMAc,0.1,120,7.71,0.043223137
194,KOAc,tBPh-CPhos,DMAc,0.1,120,82.09,0.269148843
195,KOAc,PCy3 HBF4,DMAc,0.1,120,24.56,0.032230484
196,KOAc,PPh3,DMAc,0.1,120,74.04,0.026505208
197,KOAc,X-Phos,DMAc,0.1,120,88.41,0.03474399
198,KOPiv,BrettPhos,DMAc,0.1,120,0.26,0.144666163
199,KOPiv,PPhtBu2,DMAc,0.1,120,28.53,0.042188856
200,KOPiv,tBPh-CPhos,DMAc,0.1,120,68.33,0.268014876
201,KOPiv,PCy3 HBF4,DMAc,0.1,120,47.58,0.031202546
202,KOPiv,PPh3,DMAc,0.1,120,86.46,0.025446713
203,KOPiv,X-Phos,DMAc,0.1,120,80.61,0.033627204
204,CsOAc,BrettPhos,DMAc,0.1,120,4.08,0.191271921
205,CsOAc,PPhtBu2,DMAc,0.1,120,12.35,0.088736959
206,CsOAc,tBPh-CPhos,DMAc,0.1,120,62.6,0.314593104
207,CsOAc,PCy3 HBF4,DMAc,0.1,120,44.53,0.0777885
208,CsOAc,PPh3,DMAc,0.1,120,87.32,0.072043938
209,CsOAc,X-Phos,DMAc,0.1,120,84.81,0.080234058
210,CsOPiv,BrettPhos,DMAc,0.1,120,0.0,0.232133425
211,CsOPiv,PPhtBu2,DMAc,0.1,120,1.31,0.129578399
212,CsOPiv,tBPh-CPhos,DMAc,0.1,120,17.43,0.355336154
213,CsOPiv,PCy3 HBF4,DMAc,0.1,120,27.93,0.118613912
214,CsOPiv,PPh3,DMAc,0.1,120,76.33,0.112885522
215,CsOPiv,X-Phos,DMAc,0.1,120,48.15,0.121001641
216,KOAc,BrettPhos,BuCN,0.1,120,29.25,0.163806598
217,KOAc,PPhtBu2,BuCN,0.1,120,0.0,0.061023208
218,KOAc,tBPh-CPhos,BuCN,0.1,120,8.4,0.28679899
219,KOAc,PCy3 HBF4,BuCN,0.1,120,1.96,0.04999703
220,KOAc,PPh3,BuCN,0.1,120,12.65,0.044211194
221,KOAc,X-Phos,BuCN,0.1,120,56.57,0.052745776
222,KOPiv,BrettPhos,BuCN,0.1,120,50.79,0.162877686
223,KOPiv,PPhtBu2,BuCN,0.1,120,0.0,0.059928908
224,KOPiv,tBPh-CPhos,BuCN,0.1,120,6.44,0.285689641
225,KOPiv,PCy3 HBF4,BuCN,0.1,120,3.28,0.048912866
226,KOPiv,PPh3,BuCN,0.1,120,9.59,0.043093399
227,KOPiv,X-Phos,BuCN,0.1,120,50.93,0.051608171
228,CsOAc,BrettPhos,BuCN,0.1,120,69.13,0.20961325
229,CsOAc,PPhtBu2,BuCN,0.1,120,0.0,0.106523654
230,CsOAc,tBPh-CPhos,BuCN,0.1,120,7.69,0.332293985
231,CsOAc,PCy3 HBF4,BuCN,0.1,120,3.8,0.095511604
232,CsOAc,PPh3,BuCN,0.1,120,13.09,0.08971501900000001
233,CsOAc,X-Phos,BuCN,0.1,120,84.17,0.09845814
234,CsOPiv,BrettPhos,BuCN,0.1,120,46.53,0.250312989
235,CsOPiv,PPhtBu2,BuCN,0.1,120,0.0,0.14739692
236,CsOPiv,tBPh-CPhos,BuCN,0.1,120,5.3,0.3731489
237,CsOPiv,PCy3 HBF4,BuCN,0.1,120,3.1,0.136379496
238,CsOPiv,PPh3,BuCN,0.1,120,7.36,0.130544289
239,CsOPiv,X-Phos,BuCN,0.1,120,59.81,0.139144366
240,KOAc,BrettPhos,BuOAc,0.1,120,25.86,0.157621784
241,KOAc,PPhtBu2,BuOAc,0.1,120,0.0,0.05491753
242,KOAc,tBPh-CPhos,BuOAc,0.1,120,0.0,0.280628815
243,KOAc,PCy3 HBF4,BuOAc,0.1,120,0.0,0.043876303
244,KOAc,PPh3,BuOAc,0.1,120,7.89,0.038052765
245,KOAc,X-Phos,BuOAc,0.1,120,73.71,0.04662033
246,KOPiv,BrettPhos,BuOAc,0.1,120,43.18,0.15662490199999998
247,KOPiv,PPhtBu2,BuOAc,0.1,120,0.0,0.05382323
248,KOPiv,tBPh-CPhos,BuOAc,0.1,120,0.0,0.279534515
249,KOPiv,PCy3 HBF4,BuOAc,0.1,120,0.0,0.042782003
250,KOPiv,PPh3,BuOAc,0.1,120,4.23,0.036937879
251,KOPiv,X-Phos,BuOAc,0.1,120,66.49,0.045485421
252,CsOAc,BrettPhos,BuOAc,0.1,120,35.91,0.203178757
253,CsOAc,PPhtBu2,BuOAc,0.1,120,0.0,0.100417976
254,CsOAc,tBPh-CPhos,BuOAc,0.1,120,0.0,0.326129261
255,CsOAc,PCy3 HBF4,BuOAc,0.1,120,0.03,0.08937691800000001
256,CsOAc,PPh3,BuOAc,0.1,120,4.94,0.083536619
257,CsOAc,X-Phos,BuOAc,0.1,120,2.79,0.091721882
258,CsOPiv,BrettPhos,BuOAc,0.1,120,51.99,0.244142466
259,CsOPiv,PPhtBu2,BuOAc,0.1,120,0.0,0.14129124199999998
260,CsOPiv,tBPh-CPhos,BuOAc,0.1,120,19.42,0.367111757
261,CsOPiv,PCy3 HBF4,BuOAc,0.1,120,1.37,0.130257721
262,CsOPiv,PPh3,BuOAc,0.1,120,2.49,0.124396105
263,CsOPiv,X-Phos,BuOAc,0.1,120,52.22,0.13287317
264,KOAc,BrettPhos,p-Xylene,0.1,120,18.55,0.148153925
265,KOAc,PPhtBu2,p-Xylene,0.1,120,0.0,0.045527419000000006
266,KOAc,tBPh-CPhos,p-Xylene,0.1,120,5.69,0.27125947100000003
267,KOAc,PCy3 HBF4,p-Xylene,0.1,120,0.0,0.034486192
268,KOAc,PPh3,p-Xylene,0.1,120,5.94,0.028639956
269,KOAc,X-Phos,p-Xylene,0.1,120,67.04,0.037060311
270,KOPiv,BrettPhos,p-Xylene,0.1,120,37.36,0.147128277
271,KOPiv,PPhtBu2,p-Xylene,0.1,120,0.0,0.04443312
272,KOPiv,tBPh-CPhos,p-Xylene,0.1,120,20.87,0.270220575
273,KOPiv,PCy3 HBF4,p-Xylene,0.1,120,0.0,0.033391893
274,KOPiv,PPh3,p-Xylene,0.1,120,4.48,0.027540327000000003
275,KOPiv,X-Phos,p-Xylene,0.1,120,44.74,0.035884622000000005
276,CsOAc,BrettPhos,p-Xylene,0.1,120,28.93,0.193692255
277,CsOAc,PPhtBu2,p-Xylene,0.1,120,0.0,0.091027866
278,CsOAc,tBPh-CPhos,p-Xylene,0.1,120,16.09,0.316797875
279,CsOAc,PCy3 HBF4,p-Xylene,0.1,120,2.98,0.079997515
280,CsOAc,PPh3,p-Xylene,0.1,120,16.64,0.074179454
281,CsOAc,X-Phos,p-Xylene,0.1,120,67.17,0.082561232
282,CsOPiv,BrettPhos,p-Xylene,0.1,120,25.35,0.234552455
283,CsOPiv,PPhtBu2,p-Xylene,0.1,120,0.0,0.131901132
284,CsOPiv,tBPh-CPhos,p-Xylene,0.1,120,23.77,0.35769917100000004
285,CsOPiv,PCy3 HBF4,p-Xylene,0.1,120,0.69,0.120862423
286,CsOPiv,PPh3,p-Xylene,0.1,120,2.69,0.115001806
287,CsOPiv,X-Phos,p-Xylene,0.1,120,55.8,0.123393
288,KOAc,BrettPhos,DMAc,0.057,90,3.6,0.155897722
289,KOAc,PPhtBu2,DMAc,0.057,90,0.0,0.053328542
290,KOAc,tBPh-CPhos,DMAc,0.057,90,57.27,0.279204924
291,KOAc,PCy3 HBF4,DMAc,0.057,90,3.4,0.042297116
292,KOAc,PPh3,DMAc,0.057,90,19.55,0.036475757
293,KOAc,X-Phos,DMAc,0.057,90,43.2,0.044741291
294,KOPiv,BrettPhos,DMAc,0.057,90,0.0,0.154793045
295,KOPiv,PPhtBu2,DMAc,0.057,90,0.0,0.052234242
296,KOPiv,tBPh-CPhos,DMAc,0.057,90,12.23,0.277980784
297,KOPiv,PCy3 HBF4,DMAc,0.057,90,5.85,0.041209879
298,KOPiv,PPh3,DMAc,0.057,90,46.46,0.035459033
299,KOPiv,X-Phos,DMAc,0.057,90,52.77,0.043674579000000005
300,CsOAc,BrettPhos,DMAc,0.057,90,1.96,0.201393441
301,CsOAc,PPhtBu2,DMAc,0.057,90,0.0,0.098828988
302,CsOAc,tBPh-CPhos,DMAc,0.057,90,31.18,0.324630158
303,CsOAc,PCy3 HBF4,DMAc,0.057,90,8.04,0.087810939
304,CsOAc,PPh3,DMAc,0.057,90,36.96,0.082026393
305,CsOAc,X-Phos,DMAc,0.057,90,79.33,0.090345892
306,CsOPiv,BrettPhos,DMAc,0.057,90,0.0,0.242261057
307,CsOPiv,PPhtBu2,DMAc,0.057,90,0.0,0.139702254
308,CsOPiv,tBPh-CPhos,DMAc,0.057,90,5.29,0.365428789
309,CsOPiv,PCy3 HBF4,DMAc,0.057,90,6.38,0.12867941900000002
310,CsOPiv,PPh3,DMAc,0.057,90,44.96,0.122922721
311,CsOPiv,X-Phos,DMAc,0.057,90,23.71,0.131058818
312,KOAc,BrettPhos,BuCN,0.057,90,6.26,0.186487971
313,KOAc,PPhtBu2,BuCN,0.057,90,0.0,0.083881103
314,KOAc,tBPh-CPhos,BuCN,0.057,90,5.62,0.309635539
315,KOAc,PCy3 HBF4,BuCN,0.057,90,0.0,0.072839876
316,KOAc,PPh3,BuCN,0.057,90,4.3,0.067004976
317,KOAc,X-Phos,BuCN,0.057,90,18.72,0.07531305099999999
318,KOPiv,BrettPhos,BuCN,0.057,90,29.57,0.18557265
319,KOPiv,PPhtBu2,BuCN,0.057,90,0.0,0.08278680299999999
320,KOPiv,tBPh-CPhos,BuCN,0.057,90,5.62,0.308541239
321,KOPiv,PCy3 HBF4,BuCN,0.057,90,0.14,0.071746651
322,KOPiv,PPh3,BuCN,0.057,90,5.92,0.065923115
323,KOPiv,X-Phos,BuCN,0.057,90,30.83,0.074311735
324,CsOAc,BrettPhos,BuCN,0.057,90,36.72,0.232222295
325,CsOAc,PPhtBu2,BuCN,0.057,90,0.0,0.129381549
326,CsOAc,tBPh-CPhos,BuCN,0.057,90,6.57,0.35514328
327,CsOAc,PCy3 HBF4,BuCN,0.057,90,0.28,0.118342472
328,CsOAc,PPh3,BuCN,0.057,90,6.56,0.112522775
329,CsOAc,X-Phos,BuCN,0.057,90,72.9,0.121229502
330,CsOPiv,BrettPhos,BuCN,0.057,90,37.58,0.273102164
331,CsOPiv,PPhtBu2,BuCN,0.057,90,0.0,0.170254815
332,CsOPiv,tBPh-CPhos,BuCN,0.057,90,4.89,0.396003646
333,CsOPiv,PCy3 HBF4,BuCN,0.057,90,0.86,0.15922019099999998
334,CsOPiv,PPh3,BuCN,0.057,90,5.19,0.153385522
335,CsOPiv,X-Phos,BuCN,0.057,90,40.02,0.161850309
336,KOAc,BrettPhos,BuOAc,0.057,90,17.54,0.176132882
337,KOAc,PPhtBu2,BuOAc,0.057,90,0.0,0.073475425
338,KOAc,tBPh-CPhos,BuOAc,0.057,90,2.72,0.299202009
339,KOAc,PCy3 HBF4,BuOAc,0.057,90,0.0,0.062434198
340,KOAc,PPh3,BuOAc,0.057,90,1.27,0.056573425
341,KOAc,X-Phos,BuOAc,0.057,90,32.71,0.064947618
342,KOPiv,BrettPhos,BuOAc,0.057,90,61.94,0.175288313
343,KOPiv,PPhtBu2,BuOAc,0.057,90,0.0,0.072381125
344,KOPiv,tBPh-CPhos,BuOAc,0.057,90,17.9,0.29819309
345,KOPiv,PCy3 HBF4,BuOAc,0.057,90,0.0,0.061339898
346,KOPiv,PPh3,BuOAc,0.057,90,0.05,0.055472263
347,KOPiv,X-Phos,BuOAc,0.057,90,68.86,0.064056646
348,CsOAc,BrettPhos,BuOAc,0.057,90,22.92,0.221663589
349,CsOAc,PPhtBu2,BuOAc,0.057,90,0.0,0.118975871
350,CsOAc,tBPh-CPhos,BuOAc,0.057,90,7.84,0.344731253
351,CsOAc,PCy3 HBF4,BuOAc,0.057,90,0.0,0.107934644
352,CsOAc,PPh3,BuOAc,0.057,90,1.03,0.102072521
353,CsOAc,X-Phos,BuOAc,0.057,90,61.71,0.110611176
354,CsOPiv,BrettPhos,BuOAc,0.057,90,28.74,0.26256959
355,CsOPiv,PPhtBu2,BuOAc,0.057,90,0.0,0.159849137
356,CsOPiv,tBPh-CPhos,BuOAc,0.057,90,16.51,0.385653284
357,CsOPiv,PCy3 HBF4,BuOAc,0.057,90,0.0,0.14880791
358,CsOPiv,PPh3,BuOAc,0.057,90,0.43,0.14294241300000002
359,CsOPiv,X-Phos,BuOAc,0.057,90,62.34,0.151487986
360,KOAc,BrettPhos,p-Xylene,0.057,90,12.39,0.159899863
